Document,Purpose,Max Pages,Stage,Agents Invoked,Canonical File,Source Inputs
One-pager,"Initial idea pitch: problem, customer, proposed solution, first value, non-goals, expansion direction, and success signal.",1,0. Idea,pm-agent-amazon,01.idea.md,Canonical consolidated doc
PR/FAQ,"Working Backwards press release and FAQ for the governed metric execution architecture.",6,1. Define,"pm-agent-amazon; marketing-ops-manager-google",02.PR_FAQ.md,Canonical consolidated doc
PRD,"What gets built and why: goals, non-goals, personas, requirements, success metrics, and risks.",6,2. Requirements,"pm-agent-amazon; design-agent-apple",03.PRD.md,Canonical consolidated doc
UID,"UI details: experience goals, screen inventory, outcome states, components, and mockup references.",6,2. Requirements,design-agent-apple,03.UID.md,Canonical consolidated doc
Metric Dictionary,"Governed metric semantics and ownership for the semantic layer.",n/a,2. Requirements,"data-architect-databricks; analytics-engineer-dbt",10.METRIC_DICTIONARY.csv,"Canonical consolidated doc; dbt metrics YAML"
TRD / Technical Spec,"Buildable technical requirements: scope, functional and non-functional requirements, integrations, data, security, launch gates, and decisions.",10,3. Tech spec,"solutions-architect-amazon; ai-research-google",04.TRD.md,Canonical consolidated doc
Detailed Design Doc,"Component decomposition, APIs, data model, system flows, guardrail enforcement, error handling, and future agentic/RAG seams.",10,4. Detailed design,"software-architect-amazon; data-architect-databricks",05.DETAILED_DESIGN.md,Canonical consolidated doc
Program Plan,"TPM-owned delivery plan covering workstreams, critical path, milestones, RAID, and status mechanism.",4,7. Program mgmt,tpm-agent-amazon,06.PROGRAM_PLAN.md,Canonical consolidated doc
ORR,"Operational readiness review: health checks, observability, runbooks, rollback, support readiness, and launch gates.",6,8. Launch readiness,sre-infrastructure-amazon,07.ORR.md,Canonical consolidated doc
Launch/Go-No-Go,"Final launch readiness assessment against product, operability, support, security, and communications gates.",2,8. Launch readiness,tpm-agent-amazon,08.Launch.md,Canonical consolidated doc
COE,"Correction of Error template for post-launch incidents and failed readiness gates.",5,Post-launch incident,"sre-infrastructure-amazon; owning engineer",09.COE_TEMPLATE.md,Canonical consolidated doc
Human Sign-Off,"Final human confirmation gate per milestone and owner before delivery is considered complete.",1,8. Launch readiness,tpm-agent-amazon,11.HUMAN_SIGNOFF.md,Canonical consolidated doc
MRD,"Marketing requirements: positioning, audience, messaging pillars, allowed claims, prohibited claims, and launch assets.",6,6. GTM,marketing-ops-manager-google,12.Marketing.md,Canonical consolidated doc
Decision Log,"Gate-2 approvals, door classifications, and override uses; a decision not logged did not happen (TPM runbook canonical slot).",n/a,7. Program mgmt,tpm-agent-amazon,DECISION_LOG.md,Canonical consolidated doc
Agents Reference,"Vendored read-only copies of family masters (ENGINEERING_RULES, TPM_RUNBOOK, registry); refreshed only by refresh-agent-docs.sh in kanja-agents.",n/a,All stages,tpm-agent-amazon,agents-reference/,~/Documents/kanja-agents masters
Bedrock vs Open-Source,"Component comparison mapping Bedrock managed services to open-source alternatives.",2,Reference,software-architect-amazon,13.BEDROCK_VS_OPENSOURCE.md,Reference
