metric_name,domain,label,description,metric_type,source_file,approved_status,team_ownership
total_gross_revenue,Revenue,Total Gross Revenue,Total gross revenue before discounts and credits. Grain and model/region breakdown are query parameters. Absorbs model_total_net_revenue-style grain/dimension variants.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
total_net_revenue,Revenue,Total Net Revenue,Total net revenue after savings-plan discounts. Default revenue metric. Absorbs net_revenue_usd (unit presentation only per GATE A ruling 1) and model_/monthly_ variants.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
avg_daily_net_revenue,Revenue,Avg Daily Net Revenue,Average daily net revenue; queryable at any grain. Replaces avg_daily_net_revenue_weekly and avg_daily_net_revenue_monthly.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
unique_customers,Revenue,Unique Customers,Number of distinct customer accounts. Group by model/region replaces model_unique_customers.,simple,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
revenue_per_customer,Revenue,Revenue Per Customer,Average net revenue per unique customer (total_net_revenue / unique_customers).,ratio,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
ytd_net_revenue,Revenue,YTD Net Revenue,Year-to-date net revenue (cumulative grain_to_date=year). Absorbs model_ytd_net_revenue.,cumulative,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
ytd_gross_revenue,Revenue,YTD Gross Revenue,Year-to-date gross revenue (cumulative grain_to_date=year). Absorbs model_ytd_gross_revenue.,cumulative,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_gross_revenue_change,Revenue,WoW Gross Revenue Change,Week-over-week absolute change in gross revenue (derived offset_window=1 week). Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
wow_net_revenue_change,Revenue,WoW Net Revenue Change,Week-over-week absolute change in net revenue (derived offset_window=1 week). Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
mom_gross_revenue_change,Revenue,MoM Gross Revenue Change,Month-over-month absolute change in gross revenue (derived offset_window=1 month). Absorbs model_ variant.,derived,single-dbt-opensource/dbt/seeds/metric_definitions_seed.csv,Approved GATE A 2026-07-06 (pre-build),Data/Analytics Engineering
