ticket_id,account_id,customer_id,region,model_family,date,severity,sentiment,topic,summary
TKT-001,ACME-1234,cust_acme_001,us-east-1,claude-sonnet-4,2026-07-01,HIGH,negative,login_failure,User unable to log in via SSO; SAML assertion rejected with invalid audience error from identity provider.
TKT-002,ACME-1234,cust_acme_001,us-east-1,claude-sonnet-4,2026-07-02,MEDIUM,neutral,data_latency,Dashboard refresh stalled for 47 minutes due to materialized view lock contention in Redshift.
TKT-003,GLOBEX-5678,cust_globex_001,eu-west-1,gpt-4o,2026-07-03,MEDIUM,positive,model_performance,Model response times improved by 200ms after moving to dedicated inference endpoints.
TKT-004,INITE-9012,cust_inite_001,ap-southeast-2,claude-haiku-3,2026-07-05,HIGH,negative,billing_anomaly,Customer charged $12400 instead of $124 due to Stripe webhook double-processing the invoice paid event.
TKT-005,ACME-1234,cust_acme_001,us-east-1,claude-sonnet-4,2026-07-06,LOW,positive,feature_request,Requested ability to set per-user rate limits for the inference API across all model families.
TKT-006,GLOBEX-5678,cust_globex_001,eu-west-1,gpt-4o,2026-07-07,MEDIUM,negative,api_error,API returning 503 Service Unavailable intermittently during the 3 PM to 4 PM UTC window.
TKT-007,GLOBEX-5678,cust_globex_001,eu-west-1,claude-sonnet-4,2026-07-08,LOW,neutral,quota_throttling,Rate limit warning triggered at 950 requests per minute; customer expected a 1000 RPM cap.
TKT-008,INITE-9012,cust_inite_001,ap-southeast-2,claude-haiku-3,2026-07-09,MEDIUM,neutral,data_latency,Sydney region inference responses showing 15 second latency under normal load conditions on Tuesday.
TKT-009,ACME-1234,cust_acme_001,us-east-1,gpt-4o,2026-07-10,LOW,positive,documentation,API documentation links for the batch inference endpoint return 404 errors on the documentation portal.
TKT-010,ACME-1234,cust_acme_001,us-east-1,claude-sonnet-4,2026-07-11,HIGH,negative,login_failure,Service account integration broken after rotating client secret; all automated jobs failing authentication.
TKT-011,GLOBEX-5678,cust_globex_001,eu-west-1,claude-sonnet-4,2026-07-12,MEDIUM,neutral,billing_anomaly,Invoice total does not include the enterprise discount line item agreed upon during Q2 contract negotiation.
TKT-012,INITE-9012,cust_inite_001,ap-southeast-2,gpt-4o,2026-07-13,MEDIUM,neutral,model_performance,Latency baseline report for gpt-4o across APAC regions with comparison to previous quarter metrics.
